subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	12	Move	family	Phenuiviridae	INFO	MOVE.PROPOSED_PARENT_LINEAGE_CHANGED	PROPOSED parent lineage already modified	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26 did a rename class Ellioviricetes to Bunyaviricetes; OBSERVED//PROPOSED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Bunya//Ellio]viricetes;Goldbavirales	NA	10
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	12	Move	family	Phenuiviridae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE family named 'Phenuiviridae' to family named 'Phenuiviridae' PROPOSED//CUR=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Bunya//Ellio]viricetes;[Ellio//Bunya]virales;Phenuiviridae	NA	10
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	13	Move	family	Wupedeviridae	INFO	SRC.LINEAGE_CHANGED	CURRENT lineage changed by another proposal	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales PROPOSAL//NEW_MSL=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;[Bunya//Ellio]virales;Wupedeviridae	NA	11
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	13	Move	family	Wupedeviridae	INFO	MOVE.PROPOSED_PARENT_LINEAGE_CHANGED	PROPOSED parent lineage already modified	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26 did a rename class Ellioviricetes to Bunyaviricetes; OBSERVED//PROPOSED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Bunya//Ellio]viricetes;Goldbavirales	NA	11
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	13	Move	family	Wupedeviridae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE family named 'Wupedeviridae' to family named 'Wupedeviridae' PROPOSED//CUR=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Bunya//Ellio]viricetes;[Ellio//Bunya]virales;Wupedeviridae	NA	11
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	14	Rename	order	Bunyavirales	INFO	SRC.LINEAGE_CHANGED	CURRENT lineage changed by another proposal	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26 did a rename class Ellioviricetes to Bunyaviricetes PROPOSAL//NEW_MSL=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;Bunyavirales	NA	3
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	14	Rename	order	Bunyavirales	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME order from 'Bunyavirales' to 'Elliovirales' in 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes'	NA	3
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	15	Create new	species	Lincruvirus braziliense	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales, PROPOSED//OBSERVED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;Elliovirales;Cruliviridae;Lincruvirus	NA	16
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	15	Create new	species	Lincruvirus braziliense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Cruliviridae;Lincruvirus;Lincruvirus braziliense'	NA	16
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	16	Create new	genus	Paratulasvirus	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales, PROPOSED//OBSERVED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;Elliovirales;Tulasviridae	NA	12
