subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order	xlsxpath	path	basename	docpath	file
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	48	Create new	species	Meandervirus 44	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Meandervirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Meandervirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:47	NA	61	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	48	Create new	species	Meandervirus 44	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Meandervirus;Meandervirus 44'	NA	61	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	49	Create new	species	Meandervirus 40	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Meandervirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Meandervirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:47	NA	62	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	49	Create new	species	Meandervirus 40	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Meandervirus;Meandervirus 40'	NA	62	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	50	Create new	genus	Semitavirus	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae], otherProposals=NA	NA	18	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	50	Create new	genus	Semitavirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Semitavirus'	NA	18	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	51	Create new	species	Semitavirus 43	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Semitavirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Semitavirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:50	NA	63	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	51	Create new	species	Semitavirus 43	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Semitavirus;Semitavirus 43'	NA	63	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	52	Create new	genus	Itinerivirus	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae], otherProposals=NA	NA	19	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	52	Create new	genus	Itinerivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Itinerivirus'	NA	19	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	53	Create new	species	Itinerivirus 12	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Itinerivirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Itinerivirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:52	NA	64	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	53	Create new	species	Itinerivirus 12	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Itinerivirus;Itinerivirus 12'	NA	64	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	54	Create new	genus	Actovirus	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae], otherProposals=NA	NA	20	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	54	Create new	genus	Actovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Actovirus'	NA	20	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	55	Create new	species	Actovirus 45	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Actovirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Actovirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:54	NA	65	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	55	Create new	species	Actovirus 45	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Actovirus;Actovirus 45'	NA	65	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	56	Create new	species	Actovirus 41	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Actovirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Actovirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:54	NA	66	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	56	Create new	species	Actovirus 41	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Actovirus;Actovirus 41'	NA	66	NA	NA	NA	NA	NA
