filename	sort	proposal_abbrev	proposal	spreadsheet	srcRealm	srcSubrealm	srcKingdom	srcSubkingdom	srcPhylum	srcSubphylum	srcClass	srcSubclass	srcOrder	srcSuborder	srcFamily	srcSubfamily	srcGenus	srcSubgenus	srcSpecies	srcexemplarAccessions	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	exemplarAccessions	exemplarName	Abbrev	exemplarIsolate	isComplete	molecule	hostSource	change	rank
load_next_msl.msl36v1.txt	674	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Likavirus		Likavirus lorelei	KX507343.1	Streptomyces phage Lorelei			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	675	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Likavirus		Likavirus nanodon	KX344445.1	Streptomyces phage Nanodon			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	676	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus									bacteria	Create new	genus
load_next_msl.msl36v1.txt	677	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Fromanvirus		Mycobacterium virus Backyardigan		Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus backyardigan	JF704093.1	Mycobacterium phage Backyardigan			CG	dsDNA	bacteria	Move; rename	species
load_next_msl.msl36v1.txt	678	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Fromanvirus		Mycobacterium virus LHTSCC		Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus LHTSCC	JN699015.1	Mycobacterium phage LHTSCC			CG	dsDNA	bacteria	Move; rename	species
load_next_msl.msl36v1.txt	679	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Fromanvirus		Mycobacterium virus Peaches		Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus peaches	GQ303263.1	Mycobacterium phage Peaches			CG	dsDNA	bacteria	Move; rename	species
load_next_msl.msl36v1.txt	680	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Fromanvirus		Mycobacterium virus Arturo		Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus arturo	JX307702.1	Mycobacterium phage Arturo			CG	dsDNA	bacteria	Move; rename	species
load_next_msl.msl36v1.txt	681	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus stasia	KX641260.1	Mycobacterium phage Stasia			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	682	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus cerulean	MF919496.1	Mycobacterium phage Cerulean			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	683	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus leoavram	KY006473.1	Mycobacterium phage LeoAvram			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	684	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus bellusterra	KF841475.1	Mycobacterium phage BellusTerra			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	685	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus cintron	MN813696.1	Mycobacterium phage Cintron			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	686	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus wizard007	MH727563.1	Mycobacterium phage Wizard007			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	687	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus camperdownii	KY204245.1	Mycobacterium phage Camperdownii			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	688	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus icleared	JQ896627.1	Mycobacterium phage ICleared			CG	dsDNA	bacteria	Create new	species
