accession	species	virus_name
KM817715	Insect inshuvirus	Shuāngào insect virus 2
KM817719	Wenrivirus penaei	Wēnzhōu shrimp virus 1
KM817740	Insect inshuvirus	Shuāngào insect virus 2
KM817741	Insect inshuvirus	Shuāngào insect virus 2
KM817746	Wenrivirus penaei	Wēnzhōu shrimp virus 1
KP303687	Mulberry mosaic dwarf associated virus	mulberry mosaic dwarf associated virus
KP792685	Orthobunyavirus umbreense	Umbre virus
KP792686	Orthobunyavirus umbreense	Umbre virus
KP792687	Orthobunyavirus umbreense	Umbre virus
KP869104	Escherichia virus O157tp6	Escherichia coli O157 typing phage 6
KR011064	Tsukamurella virus TIN4	Tsukamurella phage TIN4
KR083866	White spot syndrome virus	white spot syndrome virus
KR091952	Ghunavirus Psa17	Pseudomonas phage phiPsa17
KR296690	Tlsvirus tv36	Salmonella phage 36
KT001919	Klebsiella virus Miro	Klebsiella phage Miro
KT225725	Ungulate tetraparvovirus 1	ungulate tetraparvovirus 1
KT254588	Huaiyangshan banyangvirus	severe fever with thrombocytopenia syndrome virus
KT254589	Huaiyangshan banyangvirus	severe fever with thrombocytopenia syndrome virus
KT254590	Huaiyangshan banyangvirus	severe fever with thrombocytopenia syndrome virus
KT325853	Kobuvirus ecuni	aichivirus E1; rabbit kobuvirus
KT361650	Paenibacillus virus Willow	Paenibacillus phage Willow
KT462701	Hohglivirus simiicola	ssRNA phage AVE007
KT720485	Thimiri orthobunyavirus	Thimiri virus
KT880664	Orivirus A	chicken orivirus 2
KT989884	European catfish virus	European catfish virus
KU050077	Glossina hytrovirus	Glossina pallidipes salivary gland hypertrophy virus
KU160665	Arthrobacter virus Sonny	Arthrobacter phage Sonny
KU315177	Pepo aphid-borne yellows virus	Pepo aphid-borne yellows virus
KU562963	Tobacco leaf curl Cuba virus	tobacco leaf curl Cuba virus
KU743887	Phikmvvirus NFS	Pseudomonas phage phiNFS
KU752557	Betabaculovirus trini	Trichoplusia ni granulovirus
KU925491	Orthonairovirus sakhalinense	Taggert virus
KU925492	Orthonairovirus sakhalinense	Taggert virus
KU925493	Orthonairovirus sakhalinense	Taggert virus
KU925501	Orthonairovirus bushkeyense	Zirqa virus
KU925502	Orthonairovirus bushkeyense	Zirqa virus
KU963245	Gordonia virus Hotorobo	Gordonia phage Hotorobo
KU998243	Gordonia virus Kvothe	Gordonia phage Kvothe
KX011477	Common bean severe mosaic virus	common bean severe mosaic virus
KX100121	Orthobunyavirus maguariense	Playas virus
KX100122	Orthobunyavirus maguariense	Playas virus
KX100123	Orthobunyavirus maguariense	Playas virus
KX192389	Prunus virus F	Prunus virus F
KX192393	Prunus virus F	Prunus virus F
KX272880	Seattle orthophasmavirus	Seattle Prectang virus
KX272881	Seattle orthophasmavirus	Seattle Prectang virus
KX272882	Seattle orthophasmavirus	Seattle Prectang virus
KX349323	Synechococcus virus SRIM12-08	Cyanophage S-RIM12 isolate W1_08_0910
KX712071	Przondovirus KpV766	Klebsiella phage vB_KpnP_KpV766
KX758335	Almendravirus menghai	Menghai rhabdovirus
KX884404	Hermit mivirus	Běihǎi hermit crab virus 3
KX884453	Crustacean mivirus	Wēnlǐng crustacean virus 13
KX884454	Crustacean mivirus	Wēnlǐng crustacean virus 13
KX884461	Xinzhou mivirus	Xīnzhōu nematode virus 5
KX900438	Orthobunyavirus gamboaense	Pueblo Viejo virus
KX900439	Orthobunyavirus gamboaense	Pueblo Viejo virus
KX900440	Orthobunyavirus gamboaense	Pueblo Viejo virus
KX917338	Jamestown Canyon orthobunyavirus	South River virus
KY124276	Pektosvirus PP81	Pectobacterium phage PP81
KY295892	Vectrevirus cee	Escherichia phage vB_EcoP_C
KY608965	Mosigvirus hp3	Escherichia phage HP3
KY649478	Longan witches broom-associated virus	longan witches' broom-associated virus
KY651020	Orthohantavirus seewisense	Seewis virus
KY751404	Citrus leprosis N dichorhavirus	citrus leprosis virus N
KY751405	Citrus leprosis N dichorhavirus	citrus leprosis virus N
KY860899	Bitter gourd yellow mosaic virus	bitter gourd yellow mosaic virus
L04653	Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus
L07940	Rice hoja blanca tenuivirus	rice hoja blanca virus
L14952	Rice hoja blanca tenuivirus	rice hoja blanca virus
L16239	Andean potato mottle virus	Andean potato mottle virus
L20893	Rice yellow mottle virus	rice yellow mottle virus
L22063	Hepatitis delta virus	hepatitis delta virus clade 3
L25782	Orthohantavirus sinnombreense	Sin Nombre virus
L32139	Gallid alphaherpesvirus 1	gallid alphaherpesvirus 1
L32870	Jembrana disease virus	Jembrana disease virus
L40021	Feline calicivirus	feline calicivirus
L54073	Rice hoja blanca tenuivirus	rice hoja blanca virus
L76560	Maize rough dwarf virus	maize rough dwarf virus
L76561	Maize rough dwarf virus	maize rough dwarf virus
L76562	Maize rough dwarf virus	maize rough dwarf virus
LC119077	Ferret coronavirus	ferret coronavirus
LC431581	Jeilongvirus felis	feline paramyxovirus
LC517046	Aspergillus fumigatus polymycovirus 1	Aspergillus fumigatus polymycovirus 1
