accession	species	virus_name
AB005795	Murine respirovirus	Sendai virus
AB017613	Torque teno virus 16	torque teno virus 16
AB020781	Honeysuckle yellow vein mosaic virus	honeysuckle yellow vein mosaic virus
AB028604	Tobacco leaf curl Japan virus	tobacco leaf curl Japan virus
AB040446	Ryegrass mottle virus	ryegrass mottle virus
AB042597	Lepidopteran iteradensovirus 1	lepidopteran iteradensovirus 1; Bombyx mori densovirus 5
AB049607	Torque teno virus 23	torque teno virus 23
AB049735	Gallid alphaherpesvirus 3	gallid alphaherpesvirus 3
AB054647	Torque teno virus 8	torque teno virus 8
AB064595	Torque teno virus 27	torque teno virus 27
AB064598	Torque teno virus 28	torque teno virus 28
AB064605	Torque teno virus 12	torque teno virus 12
AB186123	Bombyx mori latent virus	Bombyx mori latent virus
AB289903	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289904	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289905	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289906	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289907	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289908	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289909	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289910	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289911	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289912	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289913	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289914	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289915	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289916	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289917	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289918	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289919	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289920	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289921	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289922	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289923	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289924	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289925	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289926	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289927	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289928	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289929	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289930	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289931	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289932	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289933	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289934	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289935	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289936	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289937	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289938	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289939	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289940	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289941	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289942	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289943	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289944	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289945	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289946	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289947	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289948	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289949	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289950	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289951	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289952	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289953	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289954	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289955	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289956	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289957	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289958	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289959	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289960	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289961	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289962	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289963	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289964	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289965	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289966	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289967	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289968	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289969	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289970	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289971	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289972	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289973	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289974	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289975	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289976	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289977	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289978	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289979	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289980	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289981	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289982	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289983	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289984	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289985	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289986	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289987	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289988	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289989	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289990	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289991	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289992	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289993	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289994	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289995	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289996	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289997	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289998	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289999	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB290000	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB290001	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB290002	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB290003	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB290004	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB290005	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB290006	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB290007	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB291165	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291166	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291167	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291168	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291169	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291170	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291171	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291172	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291173	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291174	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291175	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291176	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291177	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291178	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291179	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291180	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291181	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291182	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291183	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291184	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291185	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291186	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291187	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291188	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291189	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291190	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291191	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291192	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291193	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291194	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291195	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291196	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291197	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291198	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291199	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291200	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291201	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291202	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291203	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291204	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291205	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291206	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291207	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291208	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB291209	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AB295392	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB374228	Vibrio virus Kappa	Vibrio phage kappa
AB548428	Metapneumovirus avis	avian metapneumovirus
AB689164	Maporal orthohantavirus	Maporal virus
AB796030	Gentian ovary ringspot virus	gentian ovary ringspot virus
ABRO02087964	Mastadenovirus dipodomysis	kangaroo rat adenovirus
AF002227	Bovine viral diarrhea virus 2	bovine viral diarrhea virus 2
AF004378	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF004657	Rice hoja blanca tenuivirus	rice hoja blanca virus
AF004658	Rice hoja blanca tenuivirus	rice hoja blanca virus
AF009626	Ectocarpus fasciculatus virus a	Ectocarpus fasciculatus virus a
AF011751	Hepacivirus C	hepatitis C virus genotype 1a
AF013254	Orthopneumovirus hominis	human orthopneumovirus; human respiratory syncytial virus
AF013413	Orthoflavivirus yaoundeense	Yaoundé virus
AF029248	Murine coronavirus	murine coronavirus
AF030154	Mastadenovirus bostertium	bovine adenovirus 3
AF033820	Equine infectious anemia virus	equine infectious anemia virus
AF035003	Chelonid alphaherpesvirus 5	chelonid alphaherpesvirus 5
AF046869	Porcine reproductive and respiratory syndrome virus 1	porcine reproductive and respiratory syndrome virus 1
AF055887	Southern bean mosaic virus	southern bean mosaic virus
AF061755	Macropodid alphaherpesvirus 2	Dorcopsis wallaby herpesvirus; macropodid alphaherpesvirus 2
AF063497	Adeno-associated dependoparvovirus A	adeno-associated dependoparvovirus a; Adeno-associated virus 1
AF065412	Methanobacterium virus psiM1	Methanobacterium phage psiM1
AF078728	Caprine alphaherpesvirus 1	goat herpesvirus; caprine alphaherpesvirus 1
AF078729	Cervid alphaherpesvirus 1	cervid alphaherpesvirus 1
AF080526	Groundnut chlorotic fan spot orthotospovirus	groundnut chlorotic fan-spot virus
AF083132	Mastadenovirus porcustertium	porcine adenovirus 3
AF092942	Orthopneumovirus bovis	bovine orthopneumovirus; bovine respiratory syncytial virus
AF159588	Diachasmimorpha entomopoxvirus	Diachasmimorpha entomopoxvirus
AF162273	Primate erythroparvovirus 1	primate erythroparvovirus 1;  human parvovirus B19
AF168792	Gallid alphaherpesvirus 1	gallid alphaherpesvirus 1
AF181082	Vesicular exanthema of swine virus	vesicular exanthema of swine virus
AF181249	Bovine alphaherpesvirus 2	bovine mammillitis virus; bovine alphaherpesvirus 2
AF189125	Cardamom mosaic virus	cardamom mosaic virus
AF195825	Groundnut rosette assistor virus	groundnut rosette assistor virus
AF200364	Papiine gammaherpesvirus 1	papiine gammaherpesvirus 1
AF218266	Decapod penstyldensovirus 1	decapod penstyldensovirus 1
AF222060	Halorubrum virus HF2	Halorubrum phage HF2
AF236017	Campoletis sonorensis ichnovirus	Campoletis sonorensis ichnovirus
AF252854	Mastadenovirus bovidae	bovine adenovirus 2
AF260511	Aquareovirus C	grass carp reovirus; aquareovirus C
AF260512	Aquareovirus C	grass carp reovirus; aquareovirus C
AF260513	Aquareovirus C	grass carp reovirus; aquareovirus C
AF289056	Lymantria xylina nucleopolyhedrovirus	Lymantria xylina nucleopolyhedrovirus
AF296086	Teschovirus A	teschovirus A11; porcine teschovirus 11
AF311488	Campoletis sonorensis ichnovirus	Campoletis sonorensis ichnovirus
AF326963	Classical swine fever virus	classical swine fever virus
AF338823	Barthadenovirus vulpeculae	possum adenovirus 1
AF345524	Torque teno virus 11	torque teno virus 11
AF361487	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF361488	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF361869	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF362507	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF362508	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF362509	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF362510	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF362511	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF362512	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF362513	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF362514	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF362515	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF362516	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF362517	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF391541	Betacoronavirus 1	bovine coronavirus
AF409024	Diachasmimorpha entomopoxvirus	Diachasmimorpha entomopoxvirus
AF409094	Diachasmimorpha entomopoxvirus	Diachasmimorpha entomopoxvirus
AF411011	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AF414845	Bracoviriform indiense	Glyptapanteles indiensis bracovirus
AF414846	Bracoviriform indiense	Glyptapanteles indiensis bracovirus
AF434991	Perhabdovirus trutta	lake trout rhabdovirus
AF4362513	Campoletis sonorensis ichnovirus	Campoletis sonorensis ichnovirus
AF439352	Choristoneura fumiferana granulovirus	Choristoneura fumiferana granulovirus
AF491351	Spartina mottle virus	Spartina mottle virus
AF495467	Carnivore bocaparvovirus 1	carnivore bocaparvovirus 1; canine minute virus
AF500107	Diachasmimorpha entomopoxvirus	Diachasmimorpha entomopoxvirus
AH004327	Halobacterium virus phiH	Halobacterium phage phi H
AJ004801	Bovine alphaherpesvirus 1	bovine alphaherpesvirus 1
AJ005762	Phaseolus vulgaris Tpv2-6 virus	Phaseolus vulgaris Tpv2-6 virus
AJ131832	Gallid alphaherpesvirus 1	gallid alphaherpesvirus 1
AJ223827	Endive necrotic mosaic virus	endive necrotic mosaic virus
AJ223851	Feline foamy virus	feline foamy virus
AJ244022	Rabbit picobirnavirus	rabbit picobirnavirus
AJ249803	Gallid alphaherpesvirus 1	gallid alphaherpesvirus 1
AJ271595	Poinsettia mosaic virus	poinsettia mosaic virus
AJ278677	Bracoviriform inaniti	Chelonus inanitus bracovirus
AJ278875	Nepovirus armeniacae	apricot latent ringspot virus
AJ290955	Phocid alphaherpesvirus 1	phocid alphaherpesvirus 1
AJ319654	Bracoviriform inaniti	Chelonus inanitus bracovirus
AJ440973	Bracoviriform nigricipitis	Cardiochiles nigriceps bracovirus
AJ495768	Sturgeon ichtadenovirus A	white sturgeon adenovirus 1
AJ536612	Eggplant latent viroid	Eggplant latent viroid
AJ557441	Ageratum yellow vein India betasatellite	Ageratum yellow vein India betasatellite
AJ584844	Hepatitis delta virus	hepatitis delta virus clade 7
AJ584847	Hepatitis delta virus	hepatitis delta virus clade 6
AJ584848	Hepatitis delta virus	hepatitis delta virus clade 5
AJ584849	Hepatitis delta virus	hepatitis delta virus clade 8
AJ627175	Bracoviriform inaniti	Chelonus inanitus bracovirus
AJ632304	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632305	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632306	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632307	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632308	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632309	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632310	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632311	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632312	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632313	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632314	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632315	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632316	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632317	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632318	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632319	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632320	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632321	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632322	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632323	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632324	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632325	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632326	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632327	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632328	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632329	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632330	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632331	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632332	Bracoviriform congregatae	Cotesia congregata bracovirus
AJ632333	Bracoviriform congregatae	Cotesia congregata bracovirus
AJVG01000023	Betapleolipovirus SNJ2	Saline Natrinema sp. J7‐1 virus 2
AM261417	Bracoviriform inaniti	Chelonus inanitus bracovirus
AM261418	Bracoviriform inaniti	Chelonus inanitus bracovirus
AM261419	Bracoviriform inaniti	Chelonus inanitus bracovirus
AM261420	Bracoviriform inaniti	Chelonus inanitus bracovirus
AM261421	Bracoviriform inaniti	Chelonus inanitus bracovirus
AM261422	Bracoviriform inaniti	Chelonus inanitus bracovirus
AM261423	Bracoviriform inaniti	Chelonus inanitus bracovirus
AM261424	Bracoviriform inaniti	Chelonus inanitus bracovirus
AM261425	Bracoviriform inaniti	Chelonus inanitus bracovirus
AM261426	Bracoviriform inaniti	Chelonus inanitus bracovirus
AM711133	MPoko orthobunyavirus	M’Poko virus
AM711134	Bakau orthobunyavirus	Nola virus
AM850131	Bracoviriform inaniti	Chelonus inanitus bracovirus
AM850132	Bracoviriform inaniti	Chelonus inanitus bracovirus
AM850133	Bracoviriform inaniti	Chelonus inanitus bracovirus
AR101859	Human mastadenovirus E	simian adenovirus 25
AX174942	Torque teno virus 22	torque teno virus 22
AX344110	Orthopteran ambidensovirus 1	orthopteran ambidensovirus 1; Acheta domestica densovirus
AY029394	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AY029395	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AY029396	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AY029397	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AY029398	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AY029400	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
AY033142	Gallid alphaherpesvirus 1	gallid alphaherpesvirus 1
AY033143	Gallid alphaherpesvirus 1	gallid alphaherpesvirus 1
AY034056	Gorilline gammaherpesvirus 1	gorilline gammaherpesvirus 1
AY082701	Sturgeon ichtadenovirus A	white sturgeon adenovirus 1
AY124577	Chelonid alphaherpesvirus 6	chelonid alphaherpesvirus 6; lung–eye–trachea disease-associated virus
AY126275	Alphabaculovirus altermaconfiguratae	Mamestra configurata nucleopolyhedrovirus B
AY177608	Turnip rosette virus	turnip rosette virus
AY226578	Woolly monkey hepatitis B virus	woolly monkey hepatitis B virus
AY236869	Iguanid herpesvirus 2	iguanid herpesvirus 2; iguana herpesvirus
AY251269	Varroa destructor virus 1	Varroa destructor virus 1
AY297749	Human metapneumovirus	human metapneumovirus
AY331389	Strawberry crinkle cytorhabdovirus	strawberry crinkle virus
AY338213	Paramecium bursaria Chlorella virus AL2A	Paramecium bursaria Chlorella virus AL2A
AY338214	Paramecium bursaria Chlorella virus SC1A	Paramecium bursaria Chlorella virus SC1A
AY338215	Paramecium bursaria Chlorella virus NE8A	Paramecium bursaria Chlorella virus NE8A
AY338217	Paramecium bursaria Chlorella virus CA4B	Paramecium bursaria Chlorella virus CA4B
AY338220	Paramecium bursaria Chlorella virus XZ4C	Paramecium bursaria Chlorella virus XZ4C
AY380581	Guaroa orthobunyavirus	Guaroa virus
AY389508	Crimean-Congo hemorrhagic fever orthonairovirus	Crimean-Congo hemorrhagic fever virus
AY400356	Gorilline gammaherpesvirus 1	gorilline gammaherpesvirus 1
AY438558	Tomato yellow leaf curl Rajasthan betasatellite	tomato yellow leaf curl Rajasthan betasatellite
AY525843	Metapneumovirus hominis	human metapneumovirus
AY547319	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AY556383	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AY556384	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AY563518	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AY563519	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AY570798	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AY570799	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AY574054	Tomato chlorotic spot orthotospovirus	tomato chlorotic spot virus
AY577428	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AY577429	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AY590688	Metapneumovirus avis	avian metapneumovirus; Turkey rhinotracheitis virus
AY593736	Bunyamwera orthobunyavirus	Mboké virus
AY597814	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AY598431	Diachasmimorpha entomopoxvirus	Diachasmimorpha entomopoxvirus
AY598432	Diachasmimorpha entomopoxvirus	Diachasmimorpha entomopoxvirus
AY598433	Diachasmimorpha entomopoxvirus	Diachasmimorpha entomopoxvirus
AY598434	Diachasmimorpha entomopoxvirus	Diachasmimorpha entomopoxvirus
AY598435	Diachasmimorpha entomopoxvirus	Diachasmimorpha entomopoxvirus
AY598436	Diachasmimorpha entomopoxvirus	Diachasmimorpha entomopoxvirus
AY598437	Diachasmimorpha entomopoxvirus	Diachasmimorpha entomopoxvirus
AY598438	Diachasmimorpha entomopoxvirus	Diachasmimorpha entomopoxvirus
AY694184	Sapporo virus	Sapporo virus
AY710267	Banana virus X	banana virus X
AY743909	Orthopneumovirus muris	murine orthopneumovirus; murine pneumonia virus
AY823990	Torque teno sus virus 1b	torque teno sus virus 1b
AY842013	Bracoviriform demolitoris	Microplitis demolitor bracovirus
AY848690	Bracoviriform demolitoris	Microplitis demolitor bracovirus
AY871265	Bracoviriform indiense	Glyptapanteles indiensis bracovirus
AY875680	Bracoviriform demolitoris	Microplitis demolitor bracovirus
AY875681	Bracoviriform demolitoris	Microplitis demolitor bracovirus
AY875682	Bracoviriform demolitoris	Microplitis demolitor bracovirus
AY875683	Bracoviriform demolitoris	Microplitis demolitor bracovirus
AY875684	Bracoviriform demolitoris	Microplitis demolitor bracovirus
AY875685	Bracoviriform demolitoris	Microplitis demolitor bracovirus
AY875686	Bracoviriform demolitoris	Microplitis demolitor bracovirus
AY875687	Bracoviriform demolitoris	Microplitis demolitor bracovirus
AY875688	Bracoviriform demolitoris	Microplitis demolitor bracovirus
AY875689	Bracoviriform demolitoris	Microplitis demolitor bracovirus
AY875690	Bracoviriform demolitoris	Microplitis demolitor bracovirus
AY887894	Bracoviriform demolitoris	Microplitis demolitor bracovirus
AY935249	Ichnoviriform fugitivi	Hyposoter fugitivus ichnovirus
AY962259	Avian orthoreovirus	Muscovy duck reovirus classical
AY962392	Aeromonas virus 31	Aeromonas phage 31
BD269513	Mastadenovirus bosprimum	bovine adenovirus 1
BK000415	Murine mastadenovirus A	murine adenovirus 1
BK001744	Suid alphaherpesvirus 1	suid alphaherpesvirus 1
BK013356	Osigowavirus insecticola	ssRNA phage AIN001
BK013363	Febihevirus ruminicola	ssRNA phage AVE019
BK013371	Controvirus defluviicola	ssRNA phage ESE016
BK013372	Wishivirus defluviicola	ssRNA phage ESE017
BK013380	Tibirnivirus paludicola	ssRNA phage ESO001
BK013397	Gredihovirus geoadaptatum	ssRNA phage Gerhypos.3_4
BK013422	Cehntrovirus agrihabitans	ssRNA phage Gerhypos.2_36
BK013428	Obhoarovirus terradaptatum	ssRNA phage Zoerhiza.1_23
BK013438	Stehnavirus chorovicinum	ssRNA phage Zoerhiza.1_19
BK013445	Mucrahivirus geohabitans	ssRNA phage Gephyllon.4_4
BK013457	Gredihovirus tellurenecus	ssRNA phage Gerhypos.4_3
BK013485	Thyrsuvirus pedocola	ssRNA phage Gerhypos.2_24
BK013486	Lygehevirus pedocola	ssRNA phage Zoerhiza.4_26
